title,user_id,size_id,residence_id,space_id,style_id,content,tags
오래된 우리집 짱이지롱,1,2,2,1,3,어떤가요 제 인테리어~~?,"#짱,#최고"
가난한 학생의 집,1,1,,1,2,이거 좀 돈지랄인가^^,#히히
이쁜 인테리어의 거실,1,3,2,1,3,돈을 퍼부어서 꾸며보았습니다.,"#감성,#인테리어"
따스한 온기가 느껴지는 침실,1,3,1,2,1,따스한 침실을 구경해보셔요!,
나에게 집은 잠만 자면 되는 곳,1,1,1,1,1,인테리어 따위 신경쓰지 않았어요.,"#원룸,#자취방"
내무반이 생각나는 공간,1,1,,3,2,여기 있기 싫다.,"#동기생활관,#군대"
우리 집에 놀러와요,1,3,3,1,3,짱이지~~?,#놀러오삼
전통가옥을 떠올리는 공간,1,3,3,3,3,경복궁이야 집이야?,#한옥
최고다,1,1,,1,2,짱이지~~ ㅋㅋㅋㅋㅋ,#놀러와
우리집은 추워,1,,2,2,2,따끈따근한 우리집,
유럽 무드를 담은 따끈따끈 30평대 신축 ft. 홈카페,1,2,3,1,3,유럽 무드로 30평대 신축을 홈카페로 꾸며봤습니다~,"#심플,#거실꾸미기,#거실인테리어,#홈카페"
하늘 액자 같은 통창뷰! 원목 가득한 코지st 원룸,1,1,2,2,1,저도 원룸 꾸며봤씁니다~,"#원룸,#자취방,#복층"
"러블리 그 자체, 빈티지가 담긴 앤티크 투룸 전셋집",1,1,2,3,1,ㅋㅋㅋㅋ이쁘져?,
길쭉한 모양의 5평 원룸을 침실-거실-주방으로,1,1,1,1,1,저희 집 짱이죠?,"#거실,#주방"
"집안 곳곳 우드로 아늑하게, 20평대 신혼집 스타일링",1,3,2,2,2,짱입니다!!!,"#옷장,#원목옷장,#원목행거,#원목가구,#우드인테리어,#라이크노아,#빈티지조명,#드엘리사,#빈티지램프,#우드램프,#침실"
내력벽을 아치게이트로! 시공 포인트가 있는 구축 신혼집,1,2,3,3,1,히히 우리집입니댜,
매일이 호캉스~ 호텔 같이 깔끔한 30평대 리모델링,1,1,3,1,1,잠만 잘 수 있음 된다,"#침대,#안방,#안방인테리어,#호텔침대"
"부모님집을 스튜디오로, 사계절이 아름다운 로망집",1,3,3,2,2,캬캬캬,#쿄쿄
"여행을 위해 일상을 꾸리는, 디자이너의 따스한 원룸",1,2,1,3,1,크크크,
미드센추리 모던 느낌을 더한 싱글 하우스 리모델링,1,,1,1,1,히히히,"#안방,#침실,#안방인테리어,#레트로,#미드센츄리모던"
"20년된 복층 원룸, 화이트 리모델링",1,2,1,1,1,호호,#싱글라이프
개성과 편안함의 균형이 잡힌 집,1,3,2,2,1,집 짱,#신혼부부
"창문을 열면 새소리도 들리는, 저층의 매력",1,1,2,2,3,오늘의 집 사이트 망해라,#취학자녀와 함께
크리스마스 데코와 셀프 시공으로 매주 변하는 집,1,2,,1,2,오늘의집 비싸게 파는듯,#신혼부부
하루를 나누고 맛있는 걸 먹는 기쁨이 있는 우리들의 집,1,2,1,2,2,우리집 이쁘지?,#단독주택
"따뜻하고 단정한 첫 신혼집, 24평 복도식 아파트",1,3,2,3,1,구경 오세요,#신혼부부
제품 디자이너의 안목이 담긴 미니 스튜디오st 작은 방,1,1,2,3,3,집 꾸미기,
우드의 내추럴함과 태슬로 완성한 30평대 코지 하우스,1,1,1,3,3,30평대 코어 하우스로~,#코지
하늘 액자 같은 통창뷰! 원목 가득한 코지st 원룸,1,2,3,2,1,코지 스타일 원룸 꾸미기,"#코지,#원룸"
거실에 숲이 들어왔어요! 네 식구에게 꼭 맞춘 리모델링,1,1,3,3,1,리모델링 다시 했어요~,"#거실,#최고"